airport,type,city,country,iata,icao,faa
Arvidsjaur,Medium,Arvidsjaur,Sweden,AJR,ESNX,
Abreojos,Small,Abreojos,Mexico,AJS,,
Santa Maria,Medium,Aracaju,Brazil,AJU,SBAR,
Mano Dayak International,Medium,Agadez,Niger,AJY,DRZA,
Ankang Wulipu,Small,Ankang,China,AKA,ZLAK,
Atka,Small,Atka,United,AKB,PAAK,AKA
Akron Fulton International,Medium,Akron,United,AKC,KAKR,AKR
Akola,Medium,,India,AKD,VAAK,
Akieni,Small,Akieni,Gabon,AKE,FOGA,
Kufra,Medium,Kufra,Libya,AKF,HLKF,
Anguganak,Small,Anguganak,Papua,AKG,AYGU,
Prince Sultan Air Base,Medium,,Saudi,AKH,OEPS,
Akiak,Small,Akiak,United,AKI,PFAK,AKI
Airport,Type,City,Country,IATA,ICAO,FAA
Asahikawa,Medium,Asahikawa,Japan,AKJ,RJEC,
Akhiok,Small,Akhiok,United,AKK,PAKH,AKK
Auckland International,Large,Auckland,New,AKL,NZAA,
Zakuoma,Small,ZaKouma,Chad,AKM,,
King Salmon,Medium,King,United,AKN,PAKN,AKN
Colorado Plains Regional,Small,Akron,United,AKO,KAKO,AKO
Anaktuvuk Pass,Medium,Anaktuvuk,United,AKP,PAKP,AKP
Gunung Batin,Small,Astraksetra-Sumatra,Indonesia,AKQ,,
Akure,Medium,Akure,Nigeria,AKR,DNAK,
Auki,Small,Auki,Solomon,AKS,AGGA,
RAF Akrotiri,Large,Akrotiri,Cyprus,AKT,LCRA,
Aksu,Medium,Aksu,China,AKU,ZWAK,
Akulivik,Medium,Akulivik,Canada,AKV,CYKO,
Aghajari,Medium,Aghajari,Iran,AKW,OIAG,
Aktobe,Medium,Aktyuinsk,Kazakhstan,AKX,UATT,
Airport,Type,City,Country,IATA,ICAO,FAA
Sittwe,Medium,Sittwe,Burma,AKY,VYSW,
Almaty,Large,Almaty,Kazakhstan,ALA,UAAA,
Albany International,Medium,Albany,United,ALB,KALB,ALB
Alicante International,Large,Alicante,Spain,ALC,LEAL,
Alerta,Small,Fortaleza,Perú,ALD,SPAR,
Alpine Casparis Municipal,Small,Alpine,United,ALE,,E38
Alta,Medium,Alta,Norway,ALF,ENAT,
Houari Boumediene,Large,Algiers,Algeria,ALG,DAAG,
Albany,Medium,Albany,Australia,ALH,YABA,
Alice International,Medium,Alice,United,ALI,KALI,ALI
Alexander Bay,Medium,Alexander,South,ALJ,FAAB,
"Asela
Closed",Closed,Asela,Ethiopia,ALK,,
Villanova D'Albenga International,Medium,Albenga,Italy,ALL,LIMG,
Alamogordo White Sands Regional,Medium,Alamogordo,United,ALM,KALM,ALM
St Louis Regional,Medium,Alton/St,United,ALN,KALN,ALN
Airport,Type,City,Country,IATA,ICAO,FAA
Waterloo Regional,Medium,Waterloo,United,ALO,KALO,ALO
Aleppo International,Large,Aleppo,Syria,ALP,OSAP,
Alegrete Novo,Small,Alegrete,Brazil,ALQ,SSLT,
Alexandra,Medium,Alexandra,New,ALR,NZLX,
San Luis Valley Regional Bergman Field,Medium,Alamosa,United,ALS,KALS,ALS
Alenquer,Small,Alenquer,Brazil,ALT,SDWQ,
Alula,Small,Alula,Somalia,ALU,HCMA,
Walla Walla Regional,Medium,Walla,United,ALW,KALW,ALW
Thomas C Russell Field,Small,Alexander,United,ALX,KALX,ALX
El Nouzha,Medium,Alexandria,Egypt,ALY,HEAX,
Alitak,Seaplane,Lazy,United,ALZ,,ALZ
Rick Husband Amarillo International,Large,Amarillo,United,AMA,KAMA,AMA
Ambilobe,Small,,Madagascar,AMB,FMNE,
Am Timan,Small,Am,Chad,AMC,FTTN,
Sardar Vallabhbhai Patel International,Medium,Ahmedabad,India,AMD,VAAH,
Airport,Type,City,Country,IATA,ICAO,FAA
Alto Molocue,Small,Alto,Mozambique,AME,,
Ama,Small,,Papua,AMF,AYAA,
"Amboin
Closed",Closed,Amboin,Papua,AMG,,
Arba Minch,Medium,,Ethiopia,AMH,HAAM,
Selaparang,Small,Mataram-Lombok,Indonesia,AMI,WADA,
Cirilo Queiróz,Small,Almenara,Brazil,AMJ,SNAR,
Animas Air Park,Small,Durango,United,AMK,,00C
"Puerto Armuelles
Closed",Closed,Puerto,Panama,AML,,
Queen Alia International,Large,Amman,Jordan,AMM,OJAI,
Gratiot Community,Small,Alma,United,AMN,KAMN,AMN
Mao,Small,Mao,Chad,AMO,FTTU,
Ampanihy,Small,Ampanihy,Madagascar,AMP,FMSY,
"Pattimura, Ambon",Medium,Ambon,Indonesia,AMQ,WAPP,
"Arno
Closed",Closed,Arno,Marshall,AMR,,
Amsterdam Schiphol,Large,Amsterdam,Netherlands,AMS,EHAM,
Airport,Type,City,Country,IATA,ICAO,FAA
Amata,Small,,Australia,AMT,YAMT,
Amanab,Small,Amanab,Papua,AMU,AYAM,
Amderma,Medium,Amderma,Russia,AMV,ULDD,
Ames Municipal,Small,Ames,United,AMW,KAMW,AMW
Ammaroo,Small,,Australia,AMX,YAMM,
Ambatomainty,Small,,Madagascar,AMY,,
Ardmore,Medium,Manurewa,New,AMZ,NZAR,
"Anaheim
Closed",Closed,"Anaheim,",United,ANA,,
Anniston Metropolitan,Medium,Anniston,United,ANB,KANB,ANB
Ted Stevens Anchorage International,Large,Anchorage,United,ANC,PANC,ANC
Anderson Regional,Medium,Anderson,United,AND,KAND,AND
Angers-Loire,Medium,Angers/Marcé,France,ANE,LFJR,
Cerro Moreno,Medium,Antofagasta,Chile,ANF,SCFA,
Angoulême-Brie-Champniers,Medium,Angoulême/Brie/Champniers,France,ANG,LFBU,
"Anuha Island Resort
Closed",Closed,Anhua,Solomon,ANH,,
Airport,Type,City,Country,IATA,ICAO,FAA
Aniak,Medium,Aniak,United,ANI,PANI,ANI
Zanaga,Small,Zanaga,Congo,ANJ,FCBZ,
Etimesgut Air Base,Medium,Ankara,Turkey,ANK,LTAD,
Andulo,Small,,Angola,ANL,,
Antsirabato,Medium,,Madagascar,ANM,FMNH,
Annette Island,Medium,Annette,United,ANN,PANT,ANN
Angoche,Small,Angoche,Mozambique,ANO,FQAG,
Lee,Small,Annapolis,United,ANP,KANP,ANP
Tri State Steuben County,Small,Angola,United,ANQ,KANQ,ANQ
Antwerp International (Deurne),Medium,Antwerp,Belgium,ANR,EBAW,
Andahuaylas,Small,Andahuaylas,Perú,ANS,SPHY,
"St Anton
Closed",Closed,St,Austria,ANT,,
V.C. Bird International,Medium,St.,Antigua,ANU,TAPA,
Anvik,Medium,Anvik,United,ANV,PANV,ANV
Ainsworth Municipal,Small,Ainsworth,United,ANW,KANW,ANW
Andøya,Medium,Andenes,Norway,ANX,ENAN,
Anthony Municipal,Small,Anthony,United,ANY,KANY,ANY
"Angus Downs
Closed",Closed,Angus,Australia,ANZ,,
"Aroa
Closed",Closed,Agevairu,Papua,AOA,,
Annanberg,Small,,Papua,AOB,,
Altenburg-Nobitz,Medium,Altenburg,Germany,AOC,EDAC,
Abou-Deïa,Small,Abou-Deïa,Chad,AOD,,
Anadolu,Medium,Eskişehir,Turkey,AOE,LTBY,
Anshan Air Base,Medium,Anshan,China,AOG,ZYAS,
Lima Allen County,Small,Lima,United,AOH,KAOH,AOH
Airport,Type,City,Country,IATA,ICAO,FAA
Ancona Falconara,Medium,Ancona,Italy,AOI,LIPY,
Aomori,Medium,Aomori,Japan,AOJ,RJSA,
Karpathos,Medium,Karpathos,Greece,AOK,LGKP,
Paso De Los Libres,Medium,Paso,Argentina,AOL,SARL,
Adam,Small,Adam,Oman,AOM,,
"Arona
Closed",Closed,Arona,Papua,AON,,
Altoona Blair County,Medium,Altoona,United,AOO,KAOO,AOO
Alferez FAP Alfredo Vladimir Sara Bauer,Small,Andoas,Perú,AOP,SPAS,
Sultan Abdul Halim,Medium,Alor,Malaysia,AOR,WMKA,
Amook Bay,Seaplane,Amook,United,AOS,AK81,AK81
Aosta,Medium,Aosta,Italy,AOT,LIMW,
Attopeu,Small,Attopeu,Laos,AOU,VLAP,
Centennial,Medium,Denver,United,APA,KAPA,APA
Apolo,Small,Apolo,Bolivia,APB,SLAP,
Napa County,Small,Napa,United,APC,KAPC,APC
Airport,Type,City,Country,IATA,ICAO,FAA
San Juan Aposento,Small,San,Perú,APE,SPAO,
Naples Municipal,Medium,Naples,United,APF,KAPF,APF
Phillips Army Air Field,Medium,Aberdeen,United,APG,KAPG,APG
A P Hill AAF (Fort A P Hill),Small,Fort,United,APH,KAPH,APH
Gomez Nino Apiay Air Base,Medium,Apiay,Colombia,API,SKAP,
Apataki,Small,Apataki,French,APK,NTGD,
Nampula,Medium,Nampula,Mozambique,APL,FQNP,
Alpena County Regional,Medium,Alpena,United,APN,KAPN,APN
Antonio Roldan Betancourt,Medium,Carepa,Colombia,APO,SKLC,
"Apartadó
Closed",Closed,Apartadó,Colombia,APO,,
Asapa,Small,,Papua,APP,,
Arapiraca,Small,Arapiraca,Brazil,APQ,SNAL,
April River,Small,April,Papua,APR,AYPE,
Anápolis,Small,Anápolis,Brazil,APS,SWNS,
Marion County Brown Field,Small,Jasper,United,APT,KAPT,APT
Airport,Type,City,Country,IATA,ICAO,FAA
Apucarana,Small,Apucarana,Brazil,APU,SSAP,
Apple Valley,Small,Apple,United,APV,KAPV,APV
Faleolo International,Medium,Apia,Samoa,APW,NSFA,
Arapongas,Small,Arapongas,Brazil,APX,SSOG,
Alto Parnaíba,Small,Alto,Brazil,APY,SNAI,
Zapala,Medium,Zapala,Argentina,APZ,SAHZ,
Araraquara,Medium,Araraquara,Brazil,AQA,SBAQ,
Santa Cruz del Quiche,Small,Santa,Guatemala,AQB,MGQC,
Anqing Tianzhushan,Medium,Anqing,China,AQG,ZSAQ,
Al Qaisumah/Hafr Al Batin,Medium,Qaisumah,Saudi,AQI,OEPA,
Aqaba King Hussein International,Medium,Aqaba,Jordan,AQJ,OJAQ,
Nova Vida,Small,Ariquemes,Brazil,AQM,SWNI,
Rodríguez Ballón International,Medium,Arequipa,Perú,AQP,SPQU,
"Biaugunu
Closed",Closed,"Saqani,",Fiji,AQS,NFBG,
Girdwood,Small,Girdwood,United,AQY,,AQY
Airport,Type,City,Country,IATA,ICAO,FAA
Acadiana Regional,Medium,New,United,ARA,KARA,ARA
Ann Arbor Municipal,Small,Ann,United,ARB,KARB,ARB
Arctic Village,Medium,Arctic,United,ARC,PARC,ARC
Mali,Small,Alor,Indonesia,ARD,WATM,
Antonio Nery Juarbe Pol,Medium,Arecibo,Puerto,ARE,TJAB,ABO
Acaricuara,Small,Acaricuara,Colombia,ARF,,
Walnut Ridge Regional,Small,Walnut,United,ARG,KARG,ARG
Talagi,Medium,Archangelsk,Russia,ARH,ULAA,
Chacalluta,Medium,Arica,Chile,ARI,SCAR,
Arso,Small,Arso-Papua,Indonesia,ARJ,WAJA,
Arusha,Medium,Arusha,Tanzania,ARK,HTAR,
Arly,Small,Arly,Burkina,ARL,DFER,
Armidale,Medium,Armidale,Australia,ARM,YARM,
Stockholm-Arlanda,Large,Stockholm,Sweden,ARN,ESSA,
Arboletes,Small,Arboletes,Colombia,ARO,,
Airport,Type,City,Country,IATA,ICAO,FAA
Aragip,Small,,Papua,ARP,,
El Troncal,Small,Arauquita,Colombia,ARQ,SKAT,
D. Casimiro Szlapelis,Small,Alto,Argentina,ARR,SAVR,
Watertown International,Medium,Watertown,United,ART,KART,ART
Araçatuba,Medium,Araçatuba,Brazil,ARU,SBAU,
Lakeland-Noble F. Lee Memorial field,Small,Minocqua-Woodruff,United,ARV,KARV,ARV
Arad International,Medium,Arad,Romania,ARW,LRAR,
"Asbury Park Neptune Air Terminal
Closed",Closed,Asbury,United,ARX,,
Ararat,Medium,,Australia,ARY,YARA,
N'zeto,Small,N'zeto,Angola,ARZ,FNZE,
Assab International,Medium,Asab,Eritrea,ASA,HHSB,
Ashgabat,Medium,Ashgabat,Turkmenistan,ASB,UTAA,
Ascención De Guarayos,Small,Ascensión,Bolivia,ASC,SLAS,
Andros Town,Medium,,Bahamas,ASD,MYAF,
Aspen-Pitkin Co/Sardy Field,Medium,Aspen,United,ASE,KASE,ASE
Airport,Type,City,Country,IATA,ICAO,FAA
Astrakhan,Medium,Astrakhan,Russia,ASF,URWA,
Ashburton Aerodrome,Small,,New,ASG,NZAS,
Boire Field,Small,Nashua,United,ASH,KASH,ASH
RAF Ascension Island,Medium,Ascension,Saint,ASI,FHAW,
Amami,Medium,Amami,Japan,ASJ,RJKA,
Yamoussoukro,Medium,Yamoussoukro,Côte,ASK,DIYO,
Harrison County,Small,Marshall,United,ASL,KASL,ASL
Asmara International,Medium,Asmara,Eritrea,ASM,HHAS,
Talladega Municipal,Small,Talladega,United,ASN,KASN,ASN
Asosa,Medium,Asosa,Ethiopia,ASO,HASO,
Alice Springs,Medium,Alice,Australia,ASP,YBAS,
Austin,Small,Austin,United,ASQ,KTMT,TMT
Kayseri Erkilet,Medium,Kayseri,Turkey,ASR,LTAU,
Astoria Regional,Medium,Astoria,United,AST,KAST,AST
Silvio Pettirossi International,Medium,Asunción,Paraguay,ASU,SGAS,
Amboseli,Medium,Amboseli,Kenya,ASV,HKAM,
Aswan International,Medium,Aswan,Egypt,ASW,HESN,
John F Kennedy Memorial,Small,Ashland,United,ASX,KASX,ASX
Ashley Municipal,Small,Ashley,United,ASY,KASY,ASY
Asirim,Small,,Papua,ASZ,,
Comandante FAP German Arias Graziani,Medium,Anta,Perú,ATA,SPHZ,
Atbara,Small,Atbara,Sudan,ATB,HSAT,
Arthur's Town,Medium,Arthur's,Bahamas,ATC,MYCA,
Uru Harbour,Small,Atoifi,Solomon,ATD,AGAT,
Antlers Municipal,Small,Antlers,United,ATE,80F,80F
Airport,Type,City,Country,IATA,ICAO,FAA
Chachoán,Medium,Ambato,Ecuador,ATF,SEAM,
Eleftherios Venizelos International,Large,Athens,Greece,ATH,LGAV,
Artigas International,Small,Artigas,Uruguay,ATI,SUAG,
Antsirabe,Small,Antsirabe,Madagascar,ATJ,FMME,
Atqasuk Edward Burnell Sr Memorial,Medium,Atqasuk,United,ATK,PATQ,ATK
Hartsfield Jackson Atlanta International,Large,Atlanta,United,ATL,KATL,ATL
Altamira,Medium,Altamira,Brazil,ATM,SBHT,
Namatanai,Small,Namatanai,Papua,ATN,AYNX,
Ohio University Snyder Field,Small,Athens/Albany,United,ATO,KUNI,UNI
Aitape,Small,Aitape,Papua,ATP,AYAI,
Sri Guru Ram Dass Jee International,Large,Amritsar,India,ATQ,VIAR,
Atar International,Medium,Atar,Mauritania,ATR,GQPA,
