airport,type,city,country,iata,icao,faa
China Strait Airstrip,Small,Samarai,Papua,SQT,AYCS,
Saposoa,Small,Plaza,Perú,SQU,SPOA,
"Sequim Valley
Closed",Closed,Sequim,United,SQV,,
Skive,Medium,Skive,Denmark,SQW,EKSV,
São Miguel do Oeste,Small,São,Brazil,SQX,SSOE,
Airport,Type,City,Country,IATA,ICAO,FAA
São Lourenço do Sul,Small,São,Brazil,SQY,SSRU,
RAF Scampton,Medium,Scampton,United,SQZ,EGXP,
Santa Rosa,Small,Santa,Brazil,SRA,SSZR,
Santa Rosa De Yacuma,Small,Santa,Bolivia,SRB,SLSR,
"Searcy
Closed",Closed,Searcy,United,SRC,,
San Ramón,Small,San,Bolivia,SRD,SLRA,
"Hamilton Field
Closed",Closed,San,United,SRF,,
Achmad Yani,Small,Semarang-Java,Indonesia,SRG,WAHS,
Sarh,Small,Sarh,Chad,SRH,FTTA,
Temindung,Medium,Samarinda,Indonesia,SRI,WALS,
Capitán Av. German Quiroga G.,Small,San,Bolivia,SRJ,SLSB,
"Sierra Leone
Closed",Closed,Sierra,Sierra,SRK,,
"Palo Verde
Closed",Closed,Santa,Mexico,SRL,,
"Sandringham
Closed",Closed,Sandringham,Australia,SRM,,
Strahan,Small,,Australia,SRN,YSRN,
Airport,Type,City,Country,IATA,ICAO,FAA
Santana Ramos,Small,Santana,Colombia,SRO,,
Stord,Medium,Leirvik,Norway,SRP,ENSO,
Sarasota Bradenton International,Large,Sarasota/Bradenton,United,SRQ,KSRQ,SRQ
Dunwich,Small,Stradbroke,Australia,SRR,YDUN,
San Marcos,Small,San,Colombia,SRS,SKSR,
Soroti,Medium,Soroti,Uganda,SRT,HUSO,
Stony River 2,Small,Stony,United,SRV,SRV,SRV
Mid-Carolina Regional,Small,Salisbury,United,SRW,KRUQ,RUQ
Gardabya,Medium,Sirt,Libya,SRX,HLGD,
Dasht-e Naz,Medium,Sari,Iran,SRY,OINZ,
El Trompillo,Medium,Santa,Bolivia,SRZ,SLET,
Deputado Luiz Eduardo Magalhães International,Large,Salvador,Brazil,SSA,SBSV,
Christiansted Harbor,Seaplane,Christiansted,U.S.,SSB,VI32,VI32
Shaw Air Force Base,Large,Sumter,United,SSC,KSSC,SSC
Víctor Lafón,Small,San,Chile,SSD,SCSF,
Airport,Type,City,Country,IATA,ICAO,FAA
Solapur,Medium,Solapur,India,SSE,VASL,
Stinson Municipal,Medium,San,United,SSF,KSSF,SSF
Malabo,Medium,Malabo,Equatorial,SSG,FGSL,
Sharm El Sheikh International,Medium,Sharm,Egypt,SSH,HESH,
Malcolm McKinnon,Medium,Brunswick,United,SSI,KSSI,SSI
Sandnessjøen (Stokka),Medium,Alstahaug,Norway,SSJ,ENST,
Sturt Creek,Small,Sturt,Australia,SSK,,
Santa Rosalia,Small,Santa,Colombia,SSL,SKSL,
Seoul Air Base (K-16),Medium,Simgok-dong,South,SSN,RKSM,
São Lourenço,Small,São,Brazil,SSO,SNLO,
Silver Plains,Small,Silver,Australia,SSP,YSVP,
La Sarre,Small,La,Canada,SSQ,CSR8,
Sara,Small,Pentecost,Vanuatu,SSR,NVSH,
"Siassi
Closed",Closed,Siassi,Papua,SSS,,
Santa Teresita,Medium,Santa,Argentina,SST,SAZL,
Airport,Type,City,Country,IATA,ICAO,FAA
"Greenbrier
Closed",Closed,White,United,SSU,,
"Siasi
Closed",Closed,Siasi,Philippines,SSV,,
Stuart Island Airpark,Small,Stuart,United,SSW,7WA5,7WA5
Samsun Samair,Small,Samsun,Turkey,SSX,LTAQ,
Mbanza Congo,Medium,Mbanza,Angola,SSY,FNBC,
Base Aérea de Santos,Medium,Guarujá,Brazil,SSZ,SBST,
Stauning,Medium,Skjern,Denmark,STA,EKVJ,
Santa Bárbara del Zulia,Medium,,Venezuela,STB,SVSZ,
St Cloud Regional,Medium,St,United,STC,KSTC,STC
Mayor Buenaventura Vivas International,Medium,Santo,Venezuela,STD,SVSO,
Stevens Point Municipal,Small,Stevens,United,STE,KSTE,STE
Stephens Island,Seaplane,Stephens,Australia,STF,YSTI,
St George,Medium,St,United,STG,PAPB,PBV
Strathmore,Small,,Australia,STH,YSMR,
Cibao International,Medium,Santiago,Dominican,STI,MDST,
Airport,Type,City,Country,IATA,ICAO,FAA
Rosecrans Memorial,Medium,St,United,STJ,KSTJ,STJ
Sterling Municipal,Small,Sterling,United,STK,KSTK,STK
St Louis Lambert International,Large,St,United,STL,KSTL,STL
Maestro Wilson Fonseca,Medium,Santarém,Brazil,STM,SBSN,
London Stansted,Large,London,United,STN,EGSS,
St Paul Downtown Holman Field,Medium,St,United,STP,KSTP,STP
St Marys Municipal,Small,St,United,STQ,KOYM,OYM
Stuttgart,Large,Stuttgart,Germany,STR,EDDS,
Charles M. Schulz Sonoma County,Medium,Santa,United,STS,KSTS,STS
Cyril E. King,Medium,Charlotte,U.S.,STT,TIST,STT
Santa Cruz,Small,Santa,Belize,STU,,
Surat,Medium,,India,STV,VASU,
Stavropol Shpakovskoye,Medium,Stavropol,Russia,STW,URMT,
Henry E Rohlsen,Medium,Christiansted,U.S.,STX,TISX,STX
Nueva Hesperides International,Medium,Salto,Uruguay,STY,SUSO,
Airport,Type,City,Country,IATA,ICAO,FAA
Witham Field,Small,Stuart,United,SUA,KSUA,SUA
Juanda International,Large,Surabaya,Indonesia,SUB,WARR,
"Schloredt
Closed",Closed,Sundance,United,SUC,,
Stroud Municipal,Small,Stroud,United,SUD,KSUD,SUD
Door County Cherryland,Small,Sturgeon,United,SUE,KSUE,SUE
Lamezia Terme,Medium,Lamezia,Italy,SUF,LICA,
Surigao,Medium,Surigao,Philippines,SUG,RPMS,
Sur,Small,Sur,Oman,SUH,OOSR,
Sukhumi Dranda,Medium,Sukhumi,Georgia,SUI,UGSS,
Satu Mare,Medium,Satu,Romania,SUJ,LRSM,
Sakkyryr,Small,Batagay-Alyta,South,SUK,UEBS,
Sui,Medium,Sui,Pakistan,SUL,OPSU,
Sumter,Small,Sumter,United,SUM,KSMS,SMS
Friedman Memorial,Medium,Hailey,United,SUN,KSUN,SUN
Sunriver,Small,Sunriver,United,SUO,S21,S21
Trunojoyo,Small,Sumenep-Madura,Indonesia,SUP,WART,
Sucua,Small,Sucua,Ecuador,SUQ,SESC,
Summer Beaver,Small,Summer,Canada,SUR,CJV7,
Spirit of St Louis,Large,St,United,SUS,KSUS,SUS
Sumbawanga,Small,Sumbawanga,Tanzania,SUT,HTSU,
Travis Air Force Base,Large,Fairfield,United,SUU,KSUU,SUU
Nausori International,Medium,Nausori,Fiji,SUV,NFNA,
Richard I Bong,Small,Superior,United,SUW,KSUW,SUW
Sioux Gateway Col. Bud Day Field,Large,Sioux,United,SUX,KSUX,SUX
Suntar,Small,Suntar,Russia,SUY,UENS,
Airport,Type,City,Country,IATA,ICAO,FAA
"Suria
Closed",Closed,Suria,Papua,SUZ,,
Savoonga,Medium,Savoonga,United,SVA,PASA,SVA
Sambava,Medium,,Madagascar,SVB,FMNS,
Argyle International,Medium,Kingstown,Saint,SVD,TVSA,
Susanville Municipal,Small,Susanville,United,SVE,KSVE,SVE
Savé,Small,Savé,Benin,SVF,DBBS,
Stavanger Sola,Large,Stavanger,Norway,SVG,ENZV,
Statesville Regional,Small,Statesville,United,SVH,KSVH,SVH
Eduardo Falla Solano,Medium,San,Colombia,SVI,SKSV,
Svolvær Helle,Medium,Svolvær,Norway,SVJ,ENSH,
Silver Creek,Small,Silver,Belize,SVK,,
Savonlinna,Medium,Savonlinna,Finland,SVL,EFSA,
Hunter Army Air Field,Medium,Savannah,United,SVN,KSVN,SVN
Sheremetyevo International,Large,Moscow,Russia,SVO,UUEE,
Kuito,Medium,Kuito,Angola,SVP,FNKU,
Airport,Type,City,Country,IATA,ICAO,FAA
Sevilla,Medium,Sevilla,Spain,SVQ,LEZL,
"Svay Rieng
Closed",Closed,Svay,Cambodia,SVR,,
Stevens Village,Small,Stevens,United,SVS,SVS,SVS
Savuti,Small,Savuti,Botswana,SVT,FBSV,
Savusavu,Small,Savusavu,Fiji,SVU,NFNS,
San Salvador de Paul,Small,San,Venezuela,SVV,,
Sparrevohn LRRS,Medium,Sparrevohn,United,SVW,PASV,SVW
Koltsovo,Large,Yekaterinburg,Russia,SVX,USSS,
"Savo
Closed",Closed,Savo,Solomon,SVY,,
San Antonio Del Tachira,Medium,,Venezuela,SVZ,SVSA,
Jieyang Chaoshan International,Medium,Shantou,China,SWA,ZGOW,
Shaw River,Small,Shaw,Australia,SWB,,
Stawell,Medium,,Australia,SWC,YSWL,
Seward,Medium,Seward,United,SWD,PAWD,SWD
Siwea,Small,Siwea,Papua,SWE,AYEW,
Airport,Type,City,Country,IATA,ICAO,FAA
Stewart International,Medium,Newburgh,United,SWF,KSWF,SWF
Satwag,Small,Satwag,Papua,SWG,AYSW,
Swan Hill,Medium,,Australia,SWH,YSWH,
"Gypsy
Closed",Closed,Swindon,United,SWI,,
Southwest Bay,Small,Malekula,Vanuatu,SWJ,NVSX,
"Segrate
Closed",Closed,Milan,Italy,SWK,,
"Spanish Wells
Closed",Closed,Spanish,Bahamas,SWL,,
"Suia-Missu
Closed",Closed,Alto,Brazil,SWM,,
Sahiwal,Small,Sahiwal,Pakistan,SWN,,
Stillwater Regional,Medium,Stillwater,United,SWO,KSWO,SWO
Swakopmund,Small,Swakopmund,Namibia,SWP,FYSM,
Sumbawa Besar,Small,Sumbawa,Indonesia,SWQ,WADS,
Silur,Small,Silur,Papua,SWR,AYZI,
Swansea,Medium,Swansea,United,SWS,EGFH,
Strezhevoy,Medium,Strezhevoy,Russia,SWT,UNSS,
Airport,Type,City,Country,IATA,ICAO,FAA
Suwon,Medium,,South,SWU,RKSW,
"Shikarpur
Closed",Closed,Shikarpur,Pakistan,SWV,,
Avenger Field,Small,Sweetwater,United,SWW,KSWW,SWW
Shakawe,Small,Shakawe,Botswana,SWX,FBSW,
Sitiawan,Small,Sitiawan,Malaysia,SWY,WMBA,
"Sydney West
Closed",Closed,Sydney,Australia,SWZ,,
Sialum,Small,Sialum,Papua,SXA,AYQS,
Strasbourg,Medium,Strasbourg,France,SXB,LFST,
"Avalo Vor/WP
Closed",Closed,Catalina,United,SXC,,
"Sophia Antipolis
Closed",Closed,Sophia,France,SXD,,
"Berlin-Schönefeld
Closed",Closed,Berlin,Germany,SXF,EDDB,
Senanga,Small,Senanga,Zambia,SXG,FLSN,
Sehulea,Small,Sehulea,Papua,SXH,AYSL,
Sirri Island,Medium,,Iran,SXI,OIBS,
Shanshan,Medium,Shanshan,China,SXJ,ZWSS,
Airport,Type,City,Country,IATA,ICAO,FAA
Saumlaki/Olilit,Small,Saumlaki-Yamdena,Indonesia,SXK,WAPI,
Sligo,Medium,Sligo,Ireland,SXL,EISG,
Princess Juliana International,Large,Saint,Sint,SXM,TNCM,
Sua Pan,Medium,Sowa,Botswana,SXN,FBSN,
São Félix do Araguaia,Small,São,Brazil,SXO,SWFX,
Sheldon Point,Small,Nunam,United,SXP,SXP,SXP
Soldotna,Medium,Soldotna,United,SXQ,PASX,SXQ
Sheikh ul Alam,Medium,Srinagar,India,SXR,VISR,
Sahabat [Sahabat 16],Small,Sahabat,Malaysia,SXS,WBKH,
Sungai Tiang,Small,Taman,Malaysia,SXT,WMAN,
Soddu,Small,Soddu,Ethiopia,SXU,HASD,
Salem,Medium,Salem,India,SXV,VOSM,
Sauren,Small,Sauren,Papua,SXW,AYSV,
São Félix do Xingu,Small,São,Brazil,SXX,SNFX,
Siirt,Medium,Siirt,Turkey,SXZ,LTCL,
Airport,Type,City,Country,IATA,ICAO,FAA
Eareckson Air Station,Medium,Shemya,United,SYA,PASY,SYA
"Seal Bay Seaplane Base
Closed",Closed,Seal,United,SYB,,
Sydney Kingsford Smith International,Large,Sydney,Australia,SYD,YSSY,
Sadah,Small,Sadah,Yemen,SYE,OYSH,
Silva Bay,Seaplane,Gabriola,Canada,SYF,,
"Spitsberg
Closed",Closed,Svalbard,Norway,SYG,,
Syangboche,Small,Namche,Nepal,SYH,VNSB,
Bomar Field Shelbyville Municipal,Small,Shelbyville,United,SYI,KSYI,SYI
Sirjan,Medium,,Iran,SYJ,OIKY,
Stykkishólmur,Small,Stykkishólmur,Iceland,SYK,BIST,
Roberts Army,Heliport,Camp,United,SYL,KSYL,SYL
Pu'er Simao,Small,Pu'er,China,SYM,ZPSM,
Stanton Airfield,Small,Stanton,United,SYN,KSYN,SYN
Shonai,Medium,Shonai,Japan,SYO,RJSY,
Ruben Cantu,Medium,Santiago,Panama,SYP,MPSA,
Tobias Bolanos International,Medium,San,Costa,SYQ,MRPV,
Syracuse Hancock International,Large,Syracuse,United,SYR,KSYR,SYR
Saskylakh,Medium,Saskylakh,South,SYS,UERS,
Saint-Yan,Medium,Saint-Yan,France,SYT,LFLN,
Warraber Island,Small,Sue,Australia,SYU,YWBS,
Sylvester,Small,Sylvester,United,SYV,KSYV,SYV
Sehwan Sharif,Medium,Sehwan,Pakistan,SYW,OPSN,
Sanya Phoenix International,Large,Sanya,China,SYX,ZJSY,
Stornoway,Medium,Stornoway,United,SYY,EGPO,
Shiraz Shahid Dastghaib International,Large,Shiraz,Iran,SYZ,OISS,
Airport,Type,City,Country,IATA,ICAO,FAA
Soyo,Medium,Soyo,Angola,SZA,FNSO,
Sultan Abdul Aziz Shah International,Medium,Subang,Malaysia,SZB,WMSA,
Sheffield City,Heliport,Sheffield,United,SZD,EGSY,
Semera,Small,Semera,Ethiopia,SZE,HASM,
Samsun Çarşamba,Small,Samsun,Turkey,SZF,LTFH,
Salzburg,Medium,Salzburg,Austria,SZG,LOWS,
Siguanea,Medium,Isla,Cuba,SZJ,MUSN,
Skukuza,Medium,Skukuza,South,SZK,FASZ,
Whiteman Air Force Base,Large,Knob,United,SZL,KSZL,SZL
Sesriem Airstrip,Small,,Namibia,SZM,FYSS,
Santa Cruz Island,Small,Santa,United,SZN,KSZN,SZN
"Shanzhou
Closed",Closed,Shanzhou,China,SZO,,
Santa Paula,Small,Santa,United,SZP,KSZP,SZP
"Saenz Peña
Closed",Closed,Presidencia,Argentina,SZQ,,
Stara Zagora,Small,Stara,Bulgaria,SZR,LBSZ,
Airport,Type,City,Country,IATA,ICAO,FAA
Ryans Creek Aerodrome,Small,Oban,New,SZS,NZRC,
"Segou
Closed",Closed,Segou,Mali,SZU,,
Suzhou Guangfu,Medium,Suzhou,China,SZV,ZSSZ,
Schwerin Parchim,Medium,,Germany,SZW,EDOP,
Shenzhen Bao'an International,Large,Shenzhen,China,SZX,ZGSZ,
Szczytno-Szymany International,Medium,,Poland,SZY,EPSY,
"Szczecin-Goleniów ""Solidarność""",Medium,Goleniow,Poland,SZZ,EPSC,
"Tarapaina
Closed",Closed,Tarapaina,Solomon,TAA,,
Tobago-Crown Point,Medium,Scarborough,Trinidad,TAB,TTCP,
Daniel Z. Romualdez,Medium,Tacloban,Philippines,TAC,RPVA,
Perry Stokes,Small,Trinidad,United,TAD,KTAD,TAD
Daegu,Medium,Daegu,South,TAE,RKTN,
Tafaraoui,Medium,,Algeria,TAF,DAOL,
Tagbilaran,Medium,Tagbilaran,Philippines,TAG,RPVT,
Tanna,Medium,,Vanuatu,TAH,NVVW,
Ta'izz International,Medium,Ta'izz,Yemen,TAI,OYTZ,
Tadji,Small,Aitape,Papua,TAJ,AYTJ,
Takamatsu,Medium,Takamatsu,Japan,TAK,RJOT,
Ralph M Calhoun Memorial,Small,Tanana,United,TAL,PATA,TAL
General Francisco Javier Mina International,Medium,Tampico,Mexico,TAM,MMTM,
Tangalooma,Small,,Australia,TAN,YTGA,
Liuting,Medium,Qingdao,China,TAO,ZSQD,
Airport,Type,City,Country,IATA,ICAO,FAA
Tapachula International,Medium,Tapachula,Mexico,TAP,MMTP,
Tarcoola,Small,Tarcoola,Australia,TAQ,YTAR,
"Taranto-Grottaglie ""Marcello Arlotta""",Medium,Grottaglie,Italy,TAR,LIBG,
Tashkent International,Large,Tashkent,Uzbekistan,TAS,UTTT,
Poprad-Tatry,Medium,Poprad,Slovakia,TAT,LZTT,
Tauramena,Small,Tauramena,Colombia,TAU,SKTA,
"Tau
Closed",Closed,Tau,American,TAV,,
Tacuarembo,Small,Tacuarembo,Uruguay,TAW,SUTB,
Taliabu Island,Small,Tikong-Taliabu,Indonesia,TAX,WAPT,
Tartu,Medium,Tartu,Estonia,TAY,EETU,
Daşoguz,Medium,Daşoguz,Turkmenistan,TAZ,UTAT,
"Tabibuga
Closed",Closed,Tabibuga,Papua,TBA,,
Dong Tac,Medium,Tuy,Vietnam,TBB,VVTH,
Tuba City,Small,Tuba,United,TBC,KT03,T03
"Timbiqui
Closed",Closed,Timbiqui,Colombia,TBD,,
Airport,Type,City,Country,IATA,ICAO,FAA
Timbunke,Small,Timbunke,Papua,TBE,AYTV,
Tabiteuea North,Medium,,Kiribati,TBF,NGTE,
Tabubil,Small,Tabubil,Papua,TBG,AYTB,
Tugdan,Medium,Tablas,Philippines,TBH,RPVU,
"New Bright
Closed",Closed,The,Bahamas,TBI,,
Tabarka 7 Novembre,Medium,Tabarka,Tunisia,TBJ,DTKA,
Timber Creek,Small,,Australia,TBK,YTBR,
Tableland Homestead,Small,,Australia,TBL,YTAB,
Tumbang Samba,Small,Tumbang,Indonesia,TBM,WAOW,
Waynesville-St. Robert Regional Forney field,Medium,Fort,United,TBN,KTBN,TBN
Tabora,Small,Tabora,Tanzania,TBO,HTTB,
Capitan FAP Pedro Canga Rodriguez,Medium,Tumbes,Perú,TBP,SPME,
Tarabo,Small,Tarabo,Papua,TBQ,AYTR,
Statesboro Bulloch County,Small,Statesboro,United,TBR,KTBR,TBR
Tbilisi International,Large,Tbilisi,Georgia,TBS,UGTB,
Airport,Type,City,Country,IATA,ICAO,FAA
Tabatinga,Medium,Tabatinga,Brazil,TBT,SBTT,
Fua'amotu International,Medium,Nuku'alofa,Tonga,TBU,NFTF,
"Tabal Airstrip
Closed",Closed,Tabal,Marshall,TBV,,
Donskoye,Medium,Tambov,Russia,TBW,UUOT,
"Taabo
Closed",Closed,Taabo,Côte,TBX,,
Tshabong,Small,Tshabong,Botswana,TBY,FBTS,
Tabriz International,Large,Tabriz,Iran,TBZ,OITT,
Tennant Creek,Medium,Tennant,Australia,TCA,YTNK,
Treasure Cay,Medium,Treasure,Bahamas,TCB,MYAT,
Tucumcari Municipal,Medium,Tucumcari,United,TCC,KTCC,TCC
Tarapacá,Small,Tarapacá,Colombia,TCD,,
Tulcea,Medium,Tulcea,Romania,TCE,LRTC,
"Tocoa
Closed",Closed,Tocoa,Honduras,TCF,,
Tacheng,Small,Tacheng,China,TCG,ZWTC,
Tchibanga,Small,Tchibanga,Gabon,TCH,FOOT,
Airport,Type,City,Country,IATA,ICAO,FAA
Torembi,Small,Torembi,Papua,TCJ,AYVM,
Tinboli,Small,Tinboli,Papua,TCK,AYYL,
Tuscaloosa Regional,Medium,Tuscaloosa,United,TCL,KTCL,TCL
McChord Air Force Base,Large,Tacoma,United,TCM,KTCM,TCM
Tehuacan,Small,,Mexico,TCN,MMHC,
La Florida,Medium,Tumaco,Colombia,TCO,SKCO,
Taba International,Medium,Taba,Egypt,TCP,HETB,
Coronel FAP Carlos Ciriani Santa Rosa International,Medium,Tacna,Perú,TCQ,SPTN,
Tuticorin,Small,Thoothukudi,India,TCR,VOTK,
Truth Or Consequences Municipal,Medium,Truth,United,TCS,KTCS,TCS
Takotna,Small,Takotna,United,TCT,PPCT,TCT
Thaba Nchu Tar,Small,Homeward,South,TCU,FATN,
"Tete
Closed",Closed,Tete,Mozambique,TCV,,
Tocumwal,Small,,Australia,TCW,YTOC,
Tabas,Medium,Tabas,Iran,TCX,OIMT,
Airport,Type,City,Country,IATA,ICAO,FAA
Terrace Bay,Small,Terrace,Namibia,TCY,FYTE,
Tengchong Tuofeng,Medium,Tengchong,China,TCZ,ZUTC,
Trinidad,Small,Trinidad,Colombia,TDA,SKTD,
Tetebedi,Small,Tetebedi,Papua,TDB,AYTF,
Teniente Av. Jorge Henrich Arauz,Medium,Trinidad,Bolivia,TDD,SLTR,
Tandag,Medium,,Philippines,TDG,RPMW,
Tadjoura,Small,Tadjoura,Djibouti,TDJ,HDTJ,
Taldykorgan,Medium,Taldy,Kazakhstan,TDK,,
Héroes De Malvinas,Medium,Tandil,Argentina,TDL,SAZT,
Theda Station,Small,Theda,Australia,TDN,YTHD,
Ed Carlson Memorial Field South Lewis County,Small,Toledo,United,TDO,KTDO,TDO
Trompeteros,Small,Corrientes,Perú,TDP,SPDR,
Theodore,Small,,Australia,TDR,YTDR,
Sasereme,Small,Sasereme,Papua,TDS,AYSS,
Tanda Tula,Small,Welverdiend,South,TDT,FATD,
Airport,Type,City,Country,IATA,ICAO,FAA
Samangoky,Small,Tanandava,Madagascar,TDV,FMSN,
Tradewind,Small,Amarillo,United,TDW,KTDW,TDW
Trat,Medium,,Thailand,TDX,VTBO,
Toledo Executive,Small,Toledo,United,TDZ,KTDZ,TDZ
Tela,Medium,Tela,Honduras,TEA,MHTE,
Teterboro,Medium,Teterboro,United,TEB,KTEB,TEB
Telêmaco Borba,Medium,Telêmaco,Brazil,TEC,SBTL,
Thisted,Medium,Thisted,Denmark,TED,EKTS,
Cheikh Larbi Tébessi,Medium,Tébessi,Algeria,TEE,DABS,
Telfer,Medium,,Australia,TEF,YTEF,
Tenkodogo,Small,Tenkodogo,Burkina,TEG,DFET,
"Tetlin
Closed",Closed,"Tetlin,",United,TEH,,
Tezu,Small,Tezu,India,TEI,VETJ,
Tatitlek,Small,Tatitlek,United,TEK,PAKA,7KA
Telupid,Small,Telupid,Malaysia,TEL,WBKE,
Temora,Medium,,Australia,TEM,YTEM,
Tongren Fenghuang,Small,,China,TEN,ZUTR,
Terapo,Small,Terapo,Papua,TEO,AYTY,
Tep Tep,Small,Teptep,Papua,TEP,AYTP,
Tekirdağ Çorlu,Medium,Çorlu,Turkey,TEQ,LTBU,
Lajes,Large,Praia,Portugal,TER,LPLA,
Tessenei,Small,Tessenei,Eritrea,TES,HHTS,
Chingozi,Medium,Tete,Mozambique,TET,FQTT,
Manapouri,Medium,,New,TEU,NZMO,
Teruel,Medium,Teruel,Spain,TEV,LETL,
Airport,Type,City,Country,IATA,ICAO,FAA
Telluride Regional,Small,Telluride,United,TEX,KTEX,TEX
Þingeyri,Small,Þingeyri,Iceland,TEY,BITE,
Tezpur,Medium,,India,TEZ,VETZ,
Tifalmin,Small,Tifalmin,Papua,TFB,AYTH,
Tefé,Medium,Tefé,Brazil,TFF,SBTF,
Tufi,Small,Tufi,Papua,TFI,AYTU,
Juscelino Kubitscheck,Small,Teófilo,Brazil,TFL,SNTO,
Telefomin,Small,Telefomin,Papua,TFM,AYTE,
Tenerife Norte,Large,Tenerife,Spain,TFN,GCXO,
"Ramadan
Closed",Closed,Ramadan,Egypt,TFR,,
Tenerife South,Large,Tenerife,Spain,TFS,GCTS,
Taftan,Small,Taftan,Pakistan,TFT,OPTT,
"Tarfaya
Closed",Closed,Tarfaya,Morocco,TFY,,
Tengah Air Base,Medium,,Singapore,TGA,WSAT,
"Tagbita
Closed",Closed,Tagbita,Philippines,TGB,,
Airport,Type,City,Country,IATA,ICAO,FAA
Tanjung Manis,Small,Tanjung,Malaysia,TGC,WBGT,
Podgorica,Large,Podgorica,Montenegro,TGD,LYPG,
Sharpe Field,Small,Tuskegee,United,TGE,AL73,AL73
"Tignes
Closed",Closed,Tignes,France,TGF,,
Sultan Mahmud,Medium,Kuala,Malaysia,TGG,WMKN,
Tongoa,Small,Tongoa,Vanuatu,TGH,NVST,
Tingo Maria,Small,Tingo,Perú,TGI,SPGM,
Tiga,Medium,Tiga,New,TGJ,NWWA,
Taganrog Yuzhny,Medium,Taganrog,Russia,TGK,URRT,
Tagula,Small,Sudest,Papua,TGL,AYTG,
Transilvania Târgu Mureş International,Medium,Târgu,Romania,TGM,LRTM,
Latrobe Valley,Medium,Morwell,Australia,TGN,YLTV,
Tongliao,Medium,Tongliao,China,TGO,ZBTL,
Tangará da Serra,Small,Tangará,Brazil,TGQ,SWTS,
Touggourt Sidi Madhi,Medium,Touggourt,Algeria,TGR,DAUK,
Airport,Type,City,Country,IATA,ICAO,FAA
Chokwé,Small,Chokwé,Mozambique,TGS,,
Tanga,Medium,Tanga,Tanzania,TGT,HTTG,
Toncontín International,Medium,Tegucigalpa,Honduras,TGU,MHTG,
Bukhovtsi Airfield,Small,Targovishte,Bulgaria,TGV,LBTG,
"Tingrela
Closed",Closed,Tingrela,Côte,TGX,,
Angel Albino Corzo International,Medium,Tuxtla,Mexico,TGZ,MMTG,
Tullahoma Regional Arpt/Wm Northern Field,Small,Tullahoma,United,THA,KTHA,THA
Thaba-Tseka,Small,Thaba-Tseka,Lesotho,THB,FXTA,
Tchien,Small,Tchien,Liberia,THC,GLTN,
Senador Petrônio Portela,Medium,Teresina,Brazil,THE,SBTE,
"Berlin-Tempelhof International
Closed",Closed,Berlin,Germany,THF,EDDI,
Thangool,Medium,Biloela,Australia,THG,YTNG,
Taharoa Aerodrome,Small,Taharoa,New,THH,NZTS,
Tichitt,Small,Tichitt,Mauritania,THI,GQNC,
Thakhek,Small,Thakhek,Laos,THK,VLTK,
Airport,Type,City,Country,IATA,ICAO,FAA
Tachileik,Medium,Tachileik,Burma,THL,VYTL,
Thompson Falls,Small,Thompson,United,THM,KTHM,THM
Trollhättan-Vänersborg,Medium,Trollhättan,Sweden,THN,ESGT,
Thorshofn,Small,Thorshofn,Iceland,THO,BITN,
Hot Springs County,Small,Thermopolis,United,THP,KHSG,HSG
Tianshui Maijishan,Medium,Tianshui,China,THQ,ZLTS,
Mehrabad International,Large,Tehran,Iran,THR,OIII,
Sukhothai,Medium,,Thailand,THS,VTPO,
Tamchakett,Small,Tamchakett,Mauritania,THT,GQNT,
Thule Air Base,Medium,Thule,Greenland,THU,BGTL,
York,Small,York,United,THV,KTHV,THV
Turukhansk,Small,Turukhansk,Russia,THX,UOTT,
Thohoyandou,Small,Thohoyandou,South,THY,FATH,
Tahoua,Medium,Tahoua,Niger,THZ,DRRT,
Tirana International Mother Teresa,Large,Tirana,Albania,TIA,LATI,
Airport,Type,City,Country,IATA,ICAO,FAA
Tibú,Small,Tibú,Colombia,TIB,SKTB,
Tinak,Small,Arno,Marshall,TIC,,
Bou Chekif,Medium,Tiaret,Algeria,TID,DAOB,
Tippi,Small,Tippi,Ethiopia,TIE,HATP,
Ta’if Regional,Medium,Ta’if,Saudi,TIF,OETF,
"Tingwon
Closed",Closed,Tingwon,Papua,TIG,,
Tikehau,Medium,,French,TIH,NTGC,
Tarin Kowt,Small,Tarin,Afghanistan,TII,OATN,
General Abelardo L. Rodríguez International,Large,Tijuana,Mexico,TIJ,MMTJ,
Tinker Air Force Base,Large,Oklahoma,United,TIK,KTIK,TIK
Cheadle,Small,Cheadle,Canada,TIL,CFQ4,
Moses Kilangin,Medium,Timika-Papua,Indonesia,TIM,WABP,
Tindouf,Medium,Tindouf,Algeria,TIN,DAOF,
Tilin,Small,Tilin,Burma,TIO,VYHN,
Tripoli International,Large,Tripoli,Libya,TIP,HLLT,
Airport,Type,City,Country,IATA,ICAO,FAA
Tinian International,Medium,Tinian,Northern,TIQ,PGWT,TNI
Tirupati,Small,Tirupati,India,TIR,VOTP,
Timaru,Medium,,New,TIU,NZTU,
Tivat,Medium,Tivat,Montenegro,TIV,LYTV,
Tacoma Narrows,Medium,Tacoma,United,TIW,KTIW,TIW
Space Coast Regional,Medium,Titusville,United,TIX,KTIX,TIX
Tidjikja,Small,Tidjikja,Mauritania,TIY,GQND,
Tari,Small,Tari,Papua,TIZ,AYTA,
Capitan Oriel Lea Plaza,Medium,Tarija,Bolivia,TJA,SLTJ,
